stack,dataset,run,latency_s,llm_calls,http,valid,platforms
LangChain,1,warmup,30.151670,-,200,1,1
LangChain,1,1,39.857268,-,200,1,1
LangChain,1,2,33.528645,-,200,1,1
LangChain,1,3,33.187145,-,200,1,1
LangChain,1,4,48.462177,-,200,1,1
LangChain,1,5,36.712765,-,200,1,1
LangChain,1,6,32.522818,-,200,1,1
LangChain,2,warmup,53.772274,-,200,1,1
LangChain,2,1,50.189267,-,200,1,1
LangChain,2,2,69.931200,-,200,1,1
LangChain,2,3,36.259325,-,200,1,1
LangChain,2,4,34.097908,-,200,1,1
LangChain,2,5,37.603599,-,200,1,1
LangChain,2,6,41.456684,-,200,1,1
LangChain,3,warmup,69.808965,-,200,1,1
LangChain,3,1,32.772628,-,200,1,1
LangChain,3,2,26.337041,-,200,1,1
LangChain,3,3,33.088132,-,200,1,1
LangChain,3,4,59.205847,-,200,1,1
LangChain,3,5,30.134852,-,200,1,1
LangChain,3,6,37.036536,-,200,1,1
Ballerina,1,warmup,15.598798,-,200,1,2
Ballerina,1,1,13.643209,-,200,1,1
Ballerina,1,2,19.717559,-,200,1,2
Ballerina,1,3,14.560746,-,200,1,2
Ballerina,1,4,11.961966,-,200,1,2
Ballerina,1,5,15.205026,-,200,1,2
Ballerina,1,6,13.490890,-,200,1,2
Ballerina,2,warmup,15.148309,-,200,1,2
Ballerina,2,1,13.877947,-,200,1,2
Ballerina,2,2,14.587357,-,200,1,2
Ballerina,2,3,12.688372,-,200,1,1
Ballerina,2,4,11.785768,-,200,1,1
Ballerina,2,5,15.187519,-,200,1,2
Ballerina,2,6,14.890348,-,200,1,2
Ballerina,3,warmup,13.059415,-,200,1,2
Ballerina,3,1,16.457147,-,200,1,2
Ballerina,3,2,14.217330,-,200,1,2
Ballerina,3,3,18.031730,-,200,1,2
Ballerina,3,4,13.267613,-,200,1,2
Ballerina,3,5,13.182047,-,200,1,1
Ballerina,3,6,11.747734,-,200,1,2
