stack,dataset,run,latency_s,llm_calls,http,valid,platforms
LangChain,1,warmup,77.269377,24,200,1,1
LangChain,1,1,72.710927,19,200,1,1
LangChain,1,2,47.038234,15,200,0,2
LangChain,1,3,78.928188,24,200,1,1
LangChain,1,4,23.522102,9,200,0,2
LangChain,1,5,81.207901,16,200,1,1
LangChain,1,6,60.201540,18,200,1,1
Ballerina,1,warmup,100.551459,12,200,1,2
Ballerina,1,1,45.666423,4,200,0,2
Ballerina,1,2,49.075922,6,200,0,2
Ballerina,1,3,106.536338,8,200,1,1
Ballerina,1,4,41.691919,6,200,0,2
Ballerina,1,5,120.765936,11,200,1,2
Ballerina,1,6,55.821477,8,200,1,2
Ballerina,2,warmup,39.708497,7,200,0,2
Ballerina,2,1,78.138251,9,200,1,1
Ballerina,2,2,23.997512,6,200,0,2
Ballerina,2,3,36.675016,6,200,0,1
Ballerina,2,4,49.585003,7,200,0,2
Ballerina,2,5,40.674944,7,200,0,2
Ballerina,2,6,59.121616,9,200,1,1
Ballerina,3,warmup,85.648229,11,200,1,0
Ballerina,3,1,46.726740,6,200,0,1
Ballerina,3,2,17.560000,4,200,0,2
Ballerina,3,3,52.075515,9,200,0,2
Ballerina,3,4,39.697744,3,200,0,2
Ballerina,3,5,79.532663,8,200,0,2
Ballerina,3,6,49.773833,9,200,0,2
LangChain,2,warmup,40.758083,14,200,0,2
LangChain,2,1,53.928215,15,200,0,2
LangChain,2,2,38.005722,13,200,1,1
LangChain,2,3,34.907289,14,200,0,2
LangChain,2,4,36.870968,14,200,0,2
LangChain,2,5,52.715272,16,200,1,1
LangChain,2,6,96.321040,26,200,1,1
LangChain,3,warmup,74.182973,23,200,0,2
LangChain,3,1,62.413059,22,200,1,1
LangChain,3,2,67.412100,21,200,1,1
LangChain,3,3,52.162045,18,200,0,2
LangChain,3,4,57.067109,18,200,1,1
LangChain,3,5,56.490343,22,200,1,1
LangChain,3,6,40.505247,15,200,0,2
